0,0,32,2,0,0,4,152,368,262,378,707,685,303,153,55,9,0,0,0
0,0,33,1,0,0,7,134,376,263,378,689,678,319,164,61,5,1,1,0
0,0,31,3,0,0,7,152,362,268,382,688,700,291,154,59,12,1,0,0
0,0,33,1,0,0,6,124,395,260,397,698,669,315,139,62,8,3,0,0
0,0,31,3,0,0,1,141,369,273,409,700,652,303,158,54,15,1,0,0
0,0,32,2,0,1,4,150,358,259,413,669,698,313,134,68,7,2,0,0
0,0,34,0,0,0,6,150,366,273,352,708,691,315,145,61,8,1,0,0
0,2,28,4,0,0,2,147,369,271,386,698,694,308,131,64,6,0,0,0
0,0,30,4,0,0,6,142,376,258,369,699,706,317,131,66,5,1,0,0
0,0,32,2,0,0,2,153,361,276,377,670,699,324,152,60,2,0,0,0
0,0,30,3,1,0,1,166,353,265,390,686,684,305,160,57,7,2,0,0
0,1,28,5,0,0,5,147,370,253,396,698,690,301,144,61,10,1,0,0
0,0,31,3,0,0,1,132,390,247,396,683,713,292,144,70,8,0,0,0
0,0,30,4,0,0,5,144,370,263,408,694,672,308,137,61,13,1,0,0
0,0,31,3,0,0,3,148,370,269,385,683,692,312,125,83,5,1,0,0
0,0,32,2,0,0,2,146,378,267,401,693,665,309,138,74,3,0,0,0
0,0,30,4,0,0,4,152,370,236,397,697,695,303,143,68,11,0,0,0
0,0,30,4,0,0,2,149,361,271,376,705,675,315,148,65,8,1,0,0
0,1,31,2,0,0,5,152,363,259,378,730,656,312,154,59,7,1,0,0
0,0,33,1,0,0,6,146,368,242,392,725,668,319,143,63,4,0,0,0
0,0,28,6,0,0,4,138,350,252,273,550,610,474,203,108,97,15,2,0
0,0,33,1,0,0,2,140,361,231,296,526,609,463,221,99,106,21,0,1
0,0,32,2,0,0,0,144,353,231,298,525,593,495,215,96,109,17,0,0
0,0,32,2,0,0,6,138,359,223,259,577,621,488,177,103,101,23,1,0
0,0,33,1,0,0,1,139,355,240,295,568,656,465,187,99,64,6,1,0
0,0,30,4,0,0,0,130,372,227,308,560,660,454,176,124,56,9,0,0
0,0,30,4,0,0,4,120,385,223,296,571,621,497,181,115,53,10,0,0
0,0,33,1,0,0,2,112,386,222,305,563,651,476,170,121,62,6,0,0
0,0,34,0,0,0,2,146,339,249,284,574,649,468,181,118,59,7,0,0
0,0,33,1,0,0,3,134,364,229,304,575,652,454,179,104,68,9,0,1
0,0,30,4,0,0,2,120,359,243,305,555,663,453,198,109,61,8,0,0
0,0,32,2,0,0,2,128,368,237,303,547,654,480,183,108,61,5,0,0
0,0,29,5,0,0,3,128,369,230,297,565,651,475,175,121,55,6,1,0
0,0,32,2,0,0,4,138,355,228,308,568,646,485,167,115,56,4,2,0
0,0,33,1,0,0,2,132,353,239,289,552,636,483,209,123,51,7,0,0
0,0,31,3,0,0,1,122,377,224,309,566,649,474,176,110,62,6,0,0
0,1,29,4,0,0,5,134,352,238,297,572,637,481,176,118,62,4,0,0
0,0,30,4,0,0,1,118,371,247,290,569,646,449,190,124,60,11,0,0
0,0,33,1,0,1,6,124,365,230,297,565,662,466,175,122,54,8,1,0
0,0,28,6,0,0,5,130,359,247,301,555,638,492,160,120,60,8,1,0
0,0,32,2,0,0,3,145,335,250,302,559,629,485,183,120,56,8,1,0
0,0,30,4,0,0,0,139,348,249,290,570,671,439,184,121,56,8,1,0
0,0,32,2,0,0,2,142,346,245,287,578,637,471,181,120,60,6,1,0
0,0,32,2,0,0,2,127,360,236,297,576,632,478,178,107,76,5,1,1
0,0,33,1,0,0,5,122,374,233,306,536,666,467,176,127,52,12,0,0
0,0,32,2,0,0,3,144,354,233,309,535,651,475,188,122,58,3,1,0
0,0,29,5,0,0,4,123,360,229,325,536,649,476,189,126,53,5,1,0
0,0,31,3,0,0,3,132,349,260,310,552,634,466,191,112,61,6,0,0
0,0,30,4,0,0,6,137,351,233,299,557,674,449,180,122,60,8,0,0
0,0,33,1,0,0,3,132,352,270,320,611,710,382,161,107,22,6,0,0
0,0,31,3,0,0,1,142,344,237,337,631,672,407,164,113,23,5,0,0
0,0,30,4,0,1,3,133,363,241,327,602,721,406,140,110,25,4,0,0
0,0,34,0,0,0,3,136,358,262,319,612,684,408,157,114,18,5,0,0
0,0,33,1,0,0,3,142,360,239,324,604,704,402,157,120,17,3,1,0
0,0,30,4,0,0,3,129,369,263,319,651,656,397,159,106,24,0,0,0
0,0,32,2,0,0,4,150,349,257,331,591,691,409,159,103,30,2,0,0
0,0,31,3,0,0,3,141,340,263,342,620,683,385,161,113,23,1,1,0
0,0,30,4,0,0,4,130,370,231,333,606,696,418,154,117,16,1,0,0
0,0,32,2,0,0,5,136,344,245,357,599,693,408,143,117,25,4,0,0
0,0,29,5,0,0,4,140,357,255,315,624,679,416,149,110,24,2,1,0
0,0,32,2,0,0,2,127,369,256,347,621,640,422,161,109,20,2,0,0
0,0,30,4,0,0,3,135,358,256,314,651,658,409,156,111,23,2,0,0
0,0,30,4,0,0,3,129,374,233,345,623,689,385,163,107,23,1,1,0
0,0,33,1,0,0,3,134,349,262,329,596,694,414,160,113,16,6,0,0
0,0,32,2,0,0,1,141,344,258,340,605,717,370,174,108,16,2,0,0
0,0,31,3,0,0,2,130,365,258,327,619,706,374,160,113,17,4,1,0
0,0,31,3,0,0,3,135,360,257,320,586,733,376,174,107,22,3,0,0
0,0,33,1,0,0,4,153,337,257,320,622,699,384,171,104,20,5,0,0
0,0,31,3,0,0,2,141,349,262,324,601,712,376,176,119,11,3,0,0
0,0,33,1,0,0,3,133,357,275,300,626,675,414,165,108,19,1,0,0
0,0,32,2,0,0,2,123,371,257,328,609,690,369,182,121,21,2,0,1
0,0,32,2,0,0,6,136,367,248,315,627,681,402,158,120,15,1,0,0
0,0,32,2,0,0,3,137,364,257,324,623,676,404,148,120,19,1,0,0
0,0,33,1,0,0,3,132,380,236,329,619,661,426,149,122,17,2,0,0
0,1,32,1,0,0,4,147,390,228,398,699,666,326,157,52,8,1,0,0
0,0,32,2,0,0,1,138,380,256,418,659,680,324,137,73,8,2,0,0
0,0,29,5,0,0,2,144,363,283,393,682,689,316,130,65,9,0,0,0
0,0,32,2,0,0,6,149,364,264,390,679,708,300,137,71,8,0,0,0
0,0,34,0,0,0,6,146,373,255,400,690,674,307,148,70,4,3,0,0
0,0,33,1,0,0,3,149,359,277,393,705,658,309,145,66,11,1,0,0
0,0,31,3,0,0,8,145,358,279,378,695,703,286,145,68,10,1,0,0
0,1,30,3,0,0,3,151,358,269,380,716,663,314,153,60,8,1,0,0
0,0,33,1,0,0,3,142,375,268,374,687,673,338,137,65,12,2,0,0
0,0,32,2,0,0,3,143,387,256,382,685,690,302,151,62,12,2,1,0
0,0,34,0,0,0,5,145,361,273,381,689,676,334,145,57,10,0,0,0
0,0,34,0,0,0,2,139,383,271,371,695,683,315,139,71,6,1,0,0
0,0,32,2,0,0,4,151,351,294,385,679,667,319,157,59,9,0,1,0
0,0,30,4,0,0,7,150,368,253,399,684,690,321,124,72,8,0,0,0
0,0,32,2,0,0,4,140,378,273,388,704,684,281,161,54,9,0,0,0
0,0,30,4,0,0,2,150,372,257,392,693,698,297,130,75,10,0,0,0
0,0,29,5,0,0,6,147,364,260,397,708,675,296,161,50,9,3,0,0
0,0,29,5,0,1,6,142,383,264,358,699,691,309,142,71,9,1,0,0
0,0,32,2,0,0,3,154,364,262,349,714,710,326,124,63,5,2,0,0
0,0,29,5,0,0,5,138,374,273,346,708,693,319,155,59,6,0,0,0
0,0,32,2,0,0,4,160,358,264,379,682,702,310,150,59,7,0,1,0
0,0,30,4,0,0,5,141,366,276,380,686,693,315,139,68,6,1,0,0
0,0,34,0,0,0,8,148,380,259,374,684,686,307,156,64,10,0,0,0
0,0,28,6,0,0,4,147,379,274,375,696,679,309,133,71,8,1,0,0
0,0,33,1,0,0,7,144,372,279,364,689,697,290,154,70,9,0,1,0
0,0,31,3,0,0,3,134,361,230,281,545,605,493,194,120,92,15,3,0
0,0,31,3,0,0,5,128,361,220,316,540,610,481,172,119,100,24,0,0
0,0,34,0,0,0,2,136,367,222,310,505,636,470,194,120,89,23,2,0
0,0,34,0,0,0,4,126,363,234,296,526,602,494,197,114,97,22,1,0
0,0,28,6,0,0,2,137,364,230,269,537,628,480,206,104,102,15,1,1
0,0,31,3,0,0,2,142,346,230,309,512,621,496,188,108,97,22,3,0
0,0,32,2,0,0,3,133,360,236,287,526,616,492,194,116,97,16,0,0
0,1,32,1,0,0,2,134,360,240,298,521,612,495,183,114,97,19,1,0
0,0,32,2,0,0,3,123,366,238,307,552,651,485,166,121,55,7,2,0
0,0,30,4,0,0,0,127,365,241,303,559,638,482,185,107,60,9,0,0
0,0,33,1,0,0,3,131,363,244,288,547,638,491,173,115,74,6,3,0
0,0,31,3,0,0,3,127,367,235,309,556,617,505,177,113,61,6,0,0
0,0,32,2,0,0,2,133,363,237,285,573,653,466,174,111,74,5,0,0
0,0,31,3,0,0,0,129,363,255,286,547,667,463,186,120,56,3,1,0
0,0,30,4,0,0,2,135,353,253,287,565,650,444,188,128,64,5,2,0
0,0,32,2,0,0,5,134,359,231,305,580,635,453,188,129,53,4,0,0
0,0,31,3,0,0,5,132,350,236,320,554,636,480,182,107,68,5,1,0
0,0,34,0,0,0,4,135,362,231,305,516,693,463,184,117,61,4,1,0
0,0,31,3,0,1,5,144,353,226,301,557,651,469,185,115,60,8,1,0
0,0,32,2,0,0,1,129,357,258,305,545,645,469,186,116,59,6,0,0
0,0,31,3,0,0,2,116,374,241,301,540,685,467,171,109,62,8,0,0
0,0,34,0,0,0,4,124,359,245,291,567,650,463,193,106,66,6,2,0
0,1,31,2,0,1,2,130,356,243,302,548,675,451,188,111,62,7,0,0
0,0,31,3,0,0,5,126,346,257,290,555,660,458,192,122,59,6,0,0
0,0,31,3,0,0,0,128,376,233,311,575,600,481,190,113,63,5,1,0
0,0,33,1,0,0,0,136,362,221,308,562,641,482,182,118,57,6,1,0
0,0,30,4,0,1,3,126,356,240,297,566,659,461,187,114,59,6,0,1
0,0,32,2,0,0,1,130,365,239,297,554,678,449,187,103,65,7,1,0
